x_m,y_m,w_tr_right_m,w_tr_left_m
26.599381372,2.298687755,0.457200000,0.457200000
26.624363591,2.298687755,0.457200000,0.457200000
26.649345811,2.298687755,0.457200000,0.457200000
26.674328030,2.298687755,0.457200000,0.457200000
26.699310250,2.298687755,0.457200000,0.457200000
26.724292469,2.298687755,0.457200000,0.457200000
26.749274689,2.298687755,0.457200000,0.457200000
26.774256908,2.298687755,0.457200000,0.457200000
26.799239128,2.298687755,0.457200000,0.457200000
26.824221347,2.298687755,0.457200000,0.457200000
26.849203567,2.298687755,0.457200000,0.457200000
26.874185786,2.298687755,0.457200000,0.457200000
26.899168006,2.298687755,0.457200000,0.457200000
26.924150225,2.298687755,0.457200000,0.457200000
26.949132445,2.298687755,0.457200000,0.457200000
26.974114664,2.298687755,0.457200000,0.457200000
26.999096884,2.298687755,0.457200000,0.457200000
27.024079103,2.298687755,0.457200000,0.457200000
27.049061323,2.298687755,0.457200000,0.457200000
27.074043542,2.298687755,0.457200000,0.457200000
27.099025762,2.298687755,0.457200000,0.457200000
27.124007981,2.298687755,0.457200000,0.457200000
27.148990201,2.298687755,0.457200000,0.457200000
27.173972420,2.298687755,0.457200000,0.457200000
27.198954640,2.298687755,0.457200000,0.457200000
27.223936860,2.298687755,0.457200000,0.457200000
27.248919079,2.298687755,0.457200000,0.457200000
27.273901299,2.298687755,0.457200000,0.457200000
27.298883518,2.298687755,0.457200000,0.457200000
27.323865738,2.298687755,0.457200000,0.457200000
27.348847957,2.298687755,0.457200000,0.457200000
27.373830177,2.298687755,0.457200000,0.457200000
27.398660301,2.298706044,0.457200000,0.457200000
27.423490371,2.298760910,0.457200000,0.457200000
27.448320334,2.298852355,0.457200000,0.457200000
27.473150135,2.298980377,0.457200000,0.457200000
27.497979720,2.299144976,0.457200000,0.457200000
27.522809036,2.299346152,0.457200000,0.457200000
27.547638029,2.299583904,0.457200000,0.457200000
27.572466644,2.299858232,0.457200000,0.457200000
27.597294829,2.300169136,0.457200000,0.457200000
27.622122528,2.300516614,0.457200000,0.457200000
27.646949689,2.300900666,0.457200000,0.457200000
27.671776257,2.301321290,0.457200000,0.457200000
27.696602179,2.301778488,0.457200000,0.457200000
27.721427400,2.302272256,0.457200000,0.457200000
27.746251866,2.302802594,0.457200000,0.457200000
27.771075525,2.303369501,0.457200000,0.457200000
27.795898321,2.303972976,0.457200000,0.457200000
27.820720202,2.304613017,0.457200000,0.457200000
27.845541112,2.305289623,0.457200000,0.457200000
27.870360999,2.306002793,0.457200000,0.457200000
27.895179809,2.306752524,0.457200000,0.457200000
27.919997487,2.307538816,0.457200000,0.457200000
27.944813980,2.308361667,0.457200000,0.457200000
27.969629234,2.309221074,0.457200000,0.457200000
27.994443195,2.310117037,0.457200000,0.457200000
28.019255809,2.311049552,0.457200000,0.457200000
28.044067022,2.312018618,0.457200000,0.457200000
28.068876781,2.313024234,0.457200000,0.457200000
28.093685032,2.314066396,0.457200000,0.457200000
28.118491721,2.315145102,0.457200000,0.457200000
28.143296793,2.316260351,0.457200000,0.457200000
28.168100196,2.317412139,0.457200000,0.457200000
28.192901875,2.318600464,0.457200000,0.457200000
28.217701777,2.319825325,0.457200000,0.457200000
28.242499847,2.321086717,0.457200000,0.457200000
28.267296033,2.322384638,0.457200000,0.457200000
